13713 18 9 20 0
13714 18 3 14 8
13715 18 8 5 10
13716 18 13 11 18
13717 18 25 20 10
13718 25 20 10 18
13719 18 21 15 14
13720 18 13 13 22
13721 11 18 18 16
13722 15 9 18 16
13723 10 18 18 16
13724 25 18 18 16
13725 10 4 18 16
13726 18 18 15 2
13727 18 2 2 5
13728 18 11 13 6
13729 18 25 15 11
13730 18 9 25 16
13731 18 25 20 18
13732 18 21 14 5
13733 18 23 8 4
13734 18 4 23 0
13735 18 8 16 1
13736 18 14 13 5
13737 18 19 10 5
13738 18 9 18 13
13739 18 7 3 5
13740 18 8 24 5
13741 18 8 11 16
13742 18 15 13 2
13743 2 18 18 16
13744 18 16 2 18
13745 25 15 11 18
13746 22 18 18 16
13747 5 22 18 16
13748 18 20 16 8
13749 18 2 13 3
13750 18 13 23 7
13751 18 1 13 15
13752 18 25 16 13
13753 18 3 19 20
13754 18 17 11 1
13755 18 14 8 4
13756 18 20 13 4
13757 18 13 2 3
13758 18 18 20 21
13759 18 19 10 12
13760 18 21 22 9
13761 18 18 18 19
13762 18 6 8 21
13763 18 18 16 1
13764 18 23 12 19
13765 18 10 18 2
13766 18 20 12 10
13767 18 18 19 5
13768 18 14 2 19
13769 17 8 8 18
13770 18 18 18 18
13771 18 14 13 11
13772 18 10 13 7
13773 18 8 4 1
13774 18 11 18 4
13775 18 13 6 13
13776 18 11 9 20
13777 18 8 17 10
13778 18 25 18 22
13779 18 25 8 18
13780 18 25 16 11
13781 18 20 20 2
13782 18 2 8 24
13783 18 19 8 10
13784 18 9 2 9
13785 18 16 21 21
13786 18 13 23 4
13787 18 8 8 11
13788 18 25 22 23
13789 18 20 7 6
13790 18 13 18 5
13791 5 7 18 16
13792 22 18 18 16
13793 20 15 19 16
13794 18 8 7 19
13795 18 11 16 2
13796 9 6 18 0
13797 18 25 4 12
13798 18 19 10 12
13799 18 10 3 7
13800 19 5 18 0
13801 18 19 13 1
13802 18 25 16 6
13803 18 2 15 6
13804 6 2 14 14
13805 18 8 4 16
13806 14 18 9 15
13807 10 1 18 16
13808 18 8 15 15
13809 18 15 7 4
13810 18 12 7 13
13811 18 8 15 18
13812 18 1 14 2
13813 18 6 6 15
13814 18 14 15 5
13815 18 10 20 15
13816 18 8 15 14
13817 18 15 7 16
13818 18 13 11 25
13819 18 25 2 2
13820 18 20 3 4
13821 22 12 18 0
13822 18 20 10 16
13823 18 1 14 18
13824 18 8 24 4
13825 18 23 12 10
13826 18 20 22 16
13827 18 20 11 16
13828 18 4 23 19
13829 18 8 15 14
13830 18 7 18 7
13831 18 6 6 4
13832 18 16 11 15
13833 18 8 1 12
13834 18 13 2 18
13835 18 19 5 3
13836 18 25 15 14
13837 18 6 7 9
13838 18 12 19 11
13839 25 21 18 16
13840 18 19 6 11
13841 18 7 6 5
13842 8 7 18 16
13843 18 1 14 23
13844 18 10 20 3
13845 18 20 19 20
13846 18 25 8 3
13847 18 2 21 7
13848 22 6 18 0
13849 18 18 18 11
13850 18 1 14 11
13851 18 15 18 16
13852 15 7 18 0
13853 23 5 0 0
13854 23 11 19 0
13855 23 20 0 0
13856 23 16 8 0
13857 23 23 12 0
13858 23 6 13 21
13859 23 18 2 0
13860 23 5 12 12
13861 23 2 21 6
13862 7 11 19 0
13863 7 14 9 14
13864 7 15 2 0
13865 7 16 16 0
13866 7 8 17 21
13867 7 20 20 0
13868 7 16 9 0
13869 7 22 9 19
13870 7 19 15 0
13871 7 15 11 19
13872 7 25 10 0
13873 7 7 2 0
13874 7 19 11 14
13875 12 16 7 0
13876 18 15 7 0
13877 7 11 12 2
13878 14 17 7 0
13879 7 20 11 0
13880 13 14 16 7
13881 25 16 7 0
13882 7 15 9 0
13883 7 23 11 0
13884 7 10 11 19
13885 10 9 7 0
13886 7 10 13 4
13887 7 1 7 0
13888 7 10 3 14
13889 7 15 23 25
13890 7 3 18 21
13891 7 15 13 3
13892 7 16 16 7
13893 7 18 4 0
13894 7 10 11 9
13895 7 13 19 15
13896 7 25 16 14
13897 7 20 2 3
13898 7 19 13 22
13899 7 20 13 3
13900 7 12 24 0
13901 7 5 5 5
13902 7 9 8 22
13903 7 15 1 5
13904 7 21 13 2
13905 8 2 7 0
13906 23 14 7 0
13907 7 7 7 7
13908 7 4 13 17
13909 7 23 2 0
13910 7 8 12 2
13911 7 23 13 22
13912 7 13 23 22
13913 5 8 7 0
13914 7 20 7 17
13915 7 9 2 9
13916 25 18 2 7
13917 7 11 19 2
13918 7 8 21 4
13919 7 9 9 2
13920 19 5 7 0
13921 7 8 15 15
13922 7 20 12 2
13923 7 14 19 22
13924 7 25 16 4
13925 7 25 3 22
13926 15 10 7 0
13927 7 13 12 23
13928 7 22 9 9
13929 7 11 3 6
13930 7 7 2 20
13931 7 15 7 4
13932 4 11 7 0
13933 7 13 20 15
13934 7 8 15 18
13935 7 9 13 9
13936 14 17 7 0
13937 18 14 7 0
13938 7 25 22 7
13939 7 9 8 16
13940 7 14 3 18
13941 7 25 18 7
13942 25 18 6 7
13943 7 1 22 6
13944 7 15 20 15
13945 7 20 23 14
13946 7 19 12 3
13947 7 9 23 7
13948 7 23 23 23
13949 7 11 13 1
13950 7 8 2 4
13951 7 20 7 19
13952 7 25 20 9
13953 7 21 7 21
13954 7 10 2 22
13955 7 2 21 20
13956 7 2 23 15
13957 8 5 13 13
13958 25 1 8 5
13959 21 3 8 5
13960 14 9 10 0
13961 14 19 14 14
13962 14 14 25 15
13963 14 14 2 18
13964 14 14 23 4
13965 14 14 12 3
13966 11 21 0 0
13967 11 20 0 0
13968 11 11 0 0
13969 19 13 11 0
13970 11 15 15 0
13971 11 4 0 0
13972 11 20 10 0
13973 11 12 12 14
13974 8 1 11 0
13975 11 2 13 0
13976 17 15 17 15
13977 11 18 11 0
13978 11 14 9 18
13979 11 16 1 0
13980 11 9 18 13
13981 11 15 7 7
13982 11 4 4 0
13983 14 18 16 11
13984 11 20 7 6
13985 11 18 11 18
13986 15 22 0 0
13987 22 22 0 0
13988 22 9 16 0
13989 22 13 4 0
13990 22 13 12 0
13991 22 9 0 0
13992 22 14 10 0
13993 22 2 13 13
13994 22 8 17 21
13995 22 14 8 5
13996 22 16 9 13
13997 22 9 11 21
13998 22 2 8 14
13999 22 8 14 11
14000 22 13 6 13
14001 22 15 13 0
14002 22 25 18 0
14003 22 11 19 18
14004 22 11 12 2
14005 22 8 5 25
14006 22 18 12 18
14007 22 15 6 0
14008 22 19 13 18
14009 22 8 8 12
14010 22 14 19 4
14011 23 22 0 0
14012 22 23 0 0
14013 13 19 22 0
14014 22 18 8 21
14015 22 16 18 21
14016 22 14 19 13
14017 22 13 6 10
14018 22 8 1 21
14019 17 8 22 0
14020 22 25 8 22
14021 22 19 10 0
14022 22 14 19 4
14023 22 9 7 0
14024 22 10 11 19
14025 22 13 3 23
14026 22 8 14 4
14027 22 15 16 0
14028 22 9 8 17
14029 22 11 15 15
14030 22 18 8 18
14031 22 9 10 5
14032 22 13 12 11
14033 25 5 22 0
14034 22 13 18 20
14035 22 11 11 2
14036 22 8 5 10
14037 22 18 1 21
14038 22 9 3 5
14039 22 15 15 7
14040 22 10 2 4
14041 22 25 20 10
14042 22 14 9 2
14043 22 8 24 8
14044 15 11 22 0
14045 22 2 21 3
14046 22 13 7 20
14047 22 14 2 11
14048 22 12 19 1
14049 22 10 13 21
14050 22 8 4 19
14051 22 18 2 15
14052 22 13 2 2
14053 22 5 1 0
14054 22 4 4 0
14055 22 21 13 18
14056 22 20 7 21
14057 22 25 9 2
14058 22 11 12 21
14059 22 1 16 8
14060 22 7 3 7
14061 22 20 1 0
14062 22 10 6 5
14063 22 14 21 19
14064 22 18 16 1
14065 22 23 13 22
14066 22 13 2 3
14067 25 2 12 22
14068 22 22 22 23
14069 22 2 7 2
14070 22 21 11 6
14071 8 21 22 0
14072 22 7 18 20
14073 22 15 13 11
14074 22 25 20 1
14075 22 11 7 7
14076 22 8 10 24
14077 22 10 6 4
14078 22 9 8 18
14079 22 20 10 2
14080 22 4 2 21
14081 22 4 1 13
14082 7 9 22 0
14083 22 15 25 18
14084 22 8 14 9
14085 22 25 9 23
14086 22 25 6 4
14087 22 7 7 16
14088 14 19 22 0
14089 22 22 22 21
14090 22 19 20 22
14091 22 20 3 20
14092 7 22 8 5
14093 22 9 12 18
14094 22 2 22 11
14095 22 18 2 3
14096 22 21 13 20
14097 5 2 22 0
14098 22 8 24 20
14099 22 20 15 18
