13936 17 5 22 6
13937 11 7 14 6
13938 6 25 24 25
13939 6 4 7 14
13940 6 17 4 25
13941 6 25 13 6
13942 25 9 16 6
13943 6 10 24 15
13944 6 23 15 25
13945 6 1 12 17
13946 6 1 11 13
13947 6 25 10 6
13948 6 12 12 12
13949 6 4 4 10
13950 6 22 17 2
13951 6 21 7 20
13952 6 8 1 1
13953 6 6 6 17
13954 6 7 11 5
13955 6 16 17 21
13956 6 16 12 8
13957 20 7 20 7
13958 25 10 20 21
13959 17 2 23 20
13960 17 6 8 28
13961 5 17 17 21
13962 17 17 25 23
13963 17 17 13 11
13964 17 17 10 19
13965 17 17 11 13
13966 4 2 10 0
13967 4 1 10 0
13968 4 4 21 26
13969 22 4 21 0
13970 4 20 25 25
13971 4 19 21 26
13972 4 21 6 10
13973 4 24 10 10
13974 18 4 21 0
13975 4 5 7 6
13976 6 23 6 23
13977 12 11 4 21
13978 4 17 11 6
13979 4 24 10 6
13980 4 1 11 7
13981 4 23 6 6
13982 4 19 19 21
13983 17 11 24 4
13984 4 21 7 15
13985 4 19 11 11
13986 23 22 7 0
13987 22 22 6 0
13988 22 1 25 0
13989 22 7 6 8
13990 22 7 10 8
13991 22 25 20 0
13992 22 14 6 8
13993 22 13 6 7
13994 22 20 6 14
13995 22 5 25 25
13996 22 17 21 7
13997 22 4 14 14
13998 22 16 13 14
13999 22 13 17 25
14000 22 7 9 7
14001 22 18 7 7
14002 22 8 11 7
14003 22 12 11 7
14004 22 4 13 8
14005 22 20 21 25
14006 22 14 8 14
14007 22 23 9 25
14008 22 14 7 11
14009 22 17 20 2
14010 22 5 2 7
14011 12 22 6 0
14012 22 12 7 0
14013 1 7 14 22
14014 22 11 17 14
14015 22 17 14 14
14016 22 17 22 7
14017 22 7 21 8
14018 22 18 3 14
14019 4 8 22 22
14020 22 25 5 25
14021 22 2 7 26
14022 22 5 19 25
14023 22 25 6 7
14024 22 6 20 14
14025 22 19 7 0
14026 22 13 19 25
14027 22 23 14 25
14028 22 3 18 8
14029 22 4 23 23
14030 22 11 11 7
14031 22 6 9 25
14032 22 7 10 17
14033 8 17 3 22
14034 22 7 11 21
14035 22 17 4 8
14036 22 20 4 8
14037 22 11 3 14
14038 22 3 23 20
14039 22 23 23 6
14040 22 6 16 2
14041 22 21 8 0
14042 22 3 5 8
14043 22 20 13 20
14044 23 8 20 22
14045 22 13 25 0
14046 22 7 1 8
14047 22 17 13 4
14048 22 21 10 7
14049 22 16 6 17
14050 22 20 5 14
14051 22 11 13 25
14052 22 7 13 25
14053 22 9 10 7
14054 22 19 19 25
14055 22 13 4 7
14056 22 21 4 14
14057 22 25 3 5
14058 22 4 10 14
14059 22 10 17 18
14060 22 6 23 6
14061 22 1 10 7
14062 22 16 15 3
14063 22 17 11 12
14064 22 14 1 10
14065 22 12 7 5
14066 22 4 13 25
14067 21 16 13 22
14068 22 22 20 17
14069 22 5 13 6
14070 22 13 4 15
14071 20 4 14 22
14072 22 6 11 21
14073 22 23 7 17
14074 22 21 10 7
14075 22 4 6 6
14076 22 20 6 22
14077 22 16 15 25
14078 22 4 7 20
14079 22 7 11 8
14080 22 19 8 7
14081 22 19 10 7
14082 6 6 6 22
14083 22 23 25 7
14084 22 13 20 10
14085 22 25 24 12
14086 22 15 16 25
14087 22 6 6 14
14088 3 2 20 22
14089 22 22 11 3
14090 22 14 1 5
14091 22 21 23 12
14092 6 16 7 3
14093 22 25 22 11
14094 22 5 24 4
14095 22 11 13 25
14096 22 13 7 21
14097 9 7 5 22
14098 22 22 1 8
14099 22 1 23 11
14100 22 21 11 17
14101 22 12 16 25
14102 22 7 13 10
14103 22 3 3 5
14104 22 8 1 7
14105 22 25 14 24
14106 22 16 23 10
14107 22 12 17 23
14108 22 7 17 20
14109 22 23 25 7
14110 12 18 22 6
14111 22 14 2 20
14112 22 13 23 25
14113 22 20 23 8
